date,sr,fact,enc_hub
2022-07-13,18,96,111
2022-04-15,2917,4135,129
2022-06-24,778,608,79
2022-04-15,3698,4793,53
2022-02-15,2,3,82
2021-10-27,810,826,79
2021-10-27,12611,14417,104
2021-03-05,172,263,50
2022-04-15,209,293,51
2021-10-27,723,769,121
2022-01-30,101,195,81
2022-01-30,355,262,92
2022-02-15,1073,1464,41
2022-06-24,9410,10953,60
2022-04-15,269,324,96
2022-02-15,1081,1056,28
2021-08-09,2501,3102,25
2022-04-15,14163,18523,63
2022-06-24,13829,16202,67
2022-01-30,1,30,32
2021-11-09,1441,1480,4
2022-01-30,3,34,1
2021-08-09,30831,35949,62
2021-03-05,9425,11752,61
2022-01-30,206,506,41
2022-02-15,8,146,92
2021-11-09,24419,27442,68
2022-06-24,4396,6425,119
2021-08-09,1022,1047,98
2022-04-15,913,1278,102
2022-06-24,607,1644,121
2021-08-09,629,587,112
2022-07-13,1490,1772,136
2022-01-30,592,502,36
2022-04-15,24,39,110
2021-08-09,726,776,108
2022-04-15,4010,4091,37
2021-08-09,544,756,26
2021-11-09,12122,12532,105
2021-08-09,622,481,116
2022-06-24,12106,12174,65
2022-04-15,407,409,7
2022-04-15,5723,6966,76
2022-04-15,604,943,113
2022-07-13,8845,12716,58
2021-08-09,4164,4858,64
2022-06-24,19948,24236,47
2021-03-05,56,75,118
2021-10-27,783,1074,119
2022-04-15,16396,22165,66
2022-01-30,87,120,28
2021-10-27,7949,8560,17
2021-11-09,1572,1601,131
2022-02-15,336,484,81
2022-06-24,2918,3230,109
2021-10-27,14317,15603,65
2021-10-27,67,59,75
2022-04-15,471,1298,117
2021-08-09,4071,3300,33
2022-04-15,3510,3758,116
2022-01-30,21,16,13
2022-07-13,7,497,39
2022-02-15,8174,10142,44
2021-03-05,66,109,70
2022-01-30,825,1130,84
